                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.72078,                 0.5008,                 1.0868,                0.61119,                0.70288,                0.63569,                0.36033,                 1.4891,                0.80224,                 1.5727,             0.00073765,             0.00073765,             0.00073765
                     56,                0.71805,                0.49997,                  1.079,                0.73481,                0.64818,                0.64938,                0.35666,                 1.4347,                0.83513,                 1.5425,              0.0007327,              0.0007327,              0.0007327
                     57,                0.72461,                0.50487,                 1.0885,                0.79882,                0.63224,                 0.6587,                 0.3814,                 1.4023,                0.73978,                 1.5162,             0.00072775,             0.00072775,             0.00072775
                     58,                  0.712,                0.49286,                 1.0755,                0.71794,                0.64111,                0.65686,                0.35562,                 1.3975,                0.78854,                 1.4868,              0.0007228,              0.0007228,              0.0007228
                     59,                0.70987,                0.49785,                 1.0804,                0.68742,                0.60192,                0.61441,                0.36158,                 1.4199,                0.80578,                 1.5307,             0.00071785,             0.00071785,             0.00071785
                     60,                0.70906,                0.48726,                 1.0788,                0.69548,                0.55755,                0.55206,                0.33031,                 1.4115,                0.85326,                 1.5053,              0.0007129,              0.0007129,              0.0007129
                     61,                0.70561,                0.48944,                 1.0768,                0.80113,                0.53996,                 0.5731,                0.32772,                 1.4905,                0.82667,                 1.5891,             0.00070795,             0.00070795,             0.00070795
                     62,                0.68915,                0.47622,                 1.0677,                0.78486,                0.56904,                0.61814,                0.36218,                 1.4315,                0.81275,                  1.524,               0.000703,               0.000703,               0.000703
                     63,                0.70581,                0.47834,                 1.0774,                0.79646,                0.72056,                 0.6829,                0.37728,                 1.5121,                0.77443,                 1.6314,             0.00069805,             0.00069805,             0.00069805
                     64,                0.68549,                0.46798,                 1.0628,                0.64738,                0.65644,                0.62935,                  0.359,                 1.4835,                  0.853,                 1.5904,              0.0006931,              0.0006931,              0.0006931
                     65,                0.69578,                0.47494,                 1.0701,                0.85556,                0.69957,                0.69698,                0.37119,                 1.4501,                 0.7615,                 1.5579,             0.00068815,             0.00068815,             0.00068815
                     66,                0.67844,                0.46678,                 1.0658,                0.74983,                0.64064,                0.63852,                0.35602,                 1.4919,                0.82887,                 1.5722,              0.0006832,              0.0006832,              0.0006832
                     67,                0.68445,                0.46423,                 1.0592,                0.72293,                0.68207,                0.65802,                0.36454,                 1.4909,                0.81407,                 1.5855,             0.00067825,             0.00067825,             0.00067825
                     68,                0.67561,                0.45419,                 1.0627,                0.74676,                0.63531,                0.60555,                0.34112,                 1.4981,                0.83811,                 1.5776,              0.0006733,              0.0006733,              0.0006733
                     69,                0.66826,                0.46166,                  1.056,                0.76719,                0.63943,                0.63275,                0.36571,                 1.4251,                0.78425,                 1.5551,             0.00066835,             0.00066835,             0.00066835
                     70,                 0.6781,                0.46032,                 1.0592,                0.70694,                0.59551,                 0.6008,                0.35879,                 1.4237,                 0.8081,                 1.5506,              0.0006634,              0.0006634,              0.0006634
                     71,                 0.6774,                 0.4573,                 1.0564,                0.72616,                0.61115,                0.64255,                0.38792,                 1.4364,                0.79344,                 1.5596,             0.00065845,             0.00065845,             0.00065845
                     72,                0.65961,                0.44859,                 1.0534,                0.74973,                0.63087,                0.62385,                0.37683,                 1.4156,                0.78965,                 1.5495,              0.0006535,              0.0006535,              0.0006535
                     73,                0.66946,                0.45235,                  1.054,                0.73725,                0.64711,                0.61778,                0.35285,                 1.4435,                0.80807,                 1.5703,             0.00064855,             0.00064855,             0.00064855
                     74,                0.65543,                0.44346,                 1.0468,                0.80274,                0.70177,                0.68019,                0.35895,                 1.4509,                 0.8058,                 1.5652,              0.0006436,              0.0006436,              0.0006436
                     75,                0.67343,                0.45245,                 1.0601,                0.74841,                0.64253,                0.65529,                0.36525,                 1.4631,                0.80411,                 1.5891,             0.00063865,             0.00063865,             0.00063865
                     76,                0.65416,                0.44049,                 1.0411,                0.71289,                0.60546,                0.65746,                0.37384,                 1.4518,                0.81172,                 1.5764,              0.0006337,              0.0006337,              0.0006337
                     77,                0.66838,                 0.4527,                 1.0557,                0.67602,                0.60321,                0.60504,                0.36094,                 1.4597,                0.79073,                 1.5933,             0.00062875,             0.00062875,             0.00062875
                     78,                0.64866,                0.43463,                 1.0394,                0.80462,                 0.6471,                0.67658,                0.36771,                 1.4448,                0.78058,                   1.56,              0.0006238,              0.0006238,              0.0006238
                     79,                0.63685,                0.43092,                 1.0407,                0.78507,                0.64496,                0.65439,                0.36172,                 1.4574,                0.77933,                 1.5986,             0.00061885,             0.00061885,             0.00061885
                     80,                0.64397,                0.43294,                 1.0356,                0.76781,                0.58604,                0.59659,                0.31758,                 1.4831,                 0.8112,                 1.6228,              0.0006139,              0.0006139,              0.0006139
                     81,                 0.6484,                0.44037,                 1.0429,                 0.7112,                0.56712,                0.60029,                0.35186,                  1.496,                 0.7966,                 1.6181,             0.00060895,             0.00060895,             0.00060895
                     82,                0.63315,                0.43245,                  1.039,                0.68074,                0.54624,                 0.6087,                0.35641,                 1.4381,                0.75246,                 1.5517,               0.000604,               0.000604,               0.000604
                     83,                0.63772,                 0.4299,                 1.0381,                0.79304,                0.70912,                0.72059,                0.38822,                 1.4755,                0.73124,                 1.6231,             0.00059905,             0.00059905,             0.00059905
                     84,                0.63437,                 0.4303,                 1.0406,                 0.6516,                0.58728,                0.55399,                0.30004,                 1.4601,                 0.8182,                  1.596,              0.0005941,              0.0005941,              0.0005941
                     85,                0.62821,                0.42175,                 1.0335,                 0.7348,                0.53983,                0.57711,                 0.3402,                 1.4636,                0.74306,                 1.6071,             0.00058915,             0.00058915,             0.00058915
                     86,                0.63016,                 0.4222,                  1.034,                0.80421,                0.57709,                 0.6319,                0.35102,                 1.4317,                0.77971,                 1.5871,              0.0005842,              0.0005842,              0.0005842
                     87,                0.63988,                0.42881,                 1.0392,                0.72064,                 0.6132,                0.60881,                0.32163,                 1.5098,                0.82022,                  1.619,             0.00057925,             0.00057925,             0.00057925
                     88,                0.62396,                0.41597,                 1.0345,                0.72382,                0.59468,                0.63493,                 0.3632,                 1.4321,                0.76547,                 1.5756,              0.0005743,              0.0005743,              0.0005743
                     89,                0.63452,                 0.4193,                 1.0328,                0.76668,                0.67723,                0.69119,                 0.4093,                 1.3853,                 0.7141,                 1.5254,             0.00056935,             0.00056935,             0.00056935
                     90,                 0.6181,                0.40862,                 1.0223,                0.71647,                0.56405,                0.63409,                0.36456,                 1.4723,                0.74563,                 1.6015,              0.0005644,              0.0005644,              0.0005644
                     91,                0.62233,                0.40652,                  1.026,                 0.6253,                0.68555,                0.69532,                0.40468,                  1.448,                0.75556,                 1.5869,             0.00055945,             0.00055945,             0.00055945
                     92,                0.61637,                0.41067,                 1.0265,                0.75192,                0.70899,                0.67132,                0.37868,                 1.4485,                0.75056,                 1.5797,              0.0005545,              0.0005545,              0.0005545
